id,headline
h01,Central bank holds interest rates steady for third straight meeting
h02,Consumer prices rise 0.3% in June as inflation cools
h03,Unemployment falls to 3.9% as hiring accelerates
h04,Stocks close at record high on a broad technology rally
h05,New tariffs on imported steel take effect Monday
h06,Home sales slump as mortgage rates climb again
h07,Central bank signals a possible rate cut later this year
h08,Producer prices unexpectedly jump on higher energy costs
h09,Weekly jobless claims drop to the lowest level in four months
h10,Government bond yields fall as investors seek safety
h11,Trade deficit widens as imports outpace exports
h12,Housing starts rebound across the Midwest
h13,"Wage growth slows, easing pressure on household budgets"
h14,A major retailer's shares tumble after a weak sales report
h15,The currency weakens against the dollar amid trade tensions
h16,Rents ease in large cities as new apartments come online
h17,Policymakers debate the timing of the next rate decision
h18,Core inflation holds firm despite lower gasoline prices
h19,Layoffs announced at several manufacturing plants
h20,Global markets rally on easing recession fears
